Jumlah Penduduk dan Pengeluaran Bukan Makanan per Kapita Sebulan;;;;;
Menurut Kabupaten/Kota di Provinsi Sulawesi Tengah  |  Tahun 2017–2025;;;;;
No;Kabupaten/Kota;Tahun;"Jumlah Penduduk
(Ribu Jiwa)";"Pengeluaran Bukan Makanan
(Rp/Kapita/Bulan)";
1;Banggai Kepulauan;2017;116,8;302.081;
2;Banggai Kepulauan;2018;117,6;361.475;
3;Banggai Kepulauan;2019;118,4;344.892;
4;Banggai Kepulauan;2020;120,1;363.040;
5;Banggai Kepulauan;2021;121,2;368.400;
6;Banggai Kepulauan;2022;122,3;371.200;
7;Banggai Kepulauan;2023;123,5;374.500;
8;Banggai Kepulauan;2024;124,6;377.377;
9;Banggai Kepulauan;2025;125,7;470.216;
10;Banggai;2017;365,6;429.654;
11;Banggai;2018;371,3;496.441;
12;Banggai;2019;376,8;538.401;
13;Banggai;2020;362,3;568.810;
14;Banggai;2021;365,1;575.200;
15;Banggai;2022;369,4;588.600;
16;Banggai;2023;373,7;596.100;
17;Banggai;2024;377,6;608.699;
18;Banggai;2025;381,4;624.075;
19;Morowali;2017;126,3;512.450;
20;Morowali;2018;128,1;535.600;
21;Morowali;2019;129,5;584.210;
22;Morowali;2020;158,5;612.450;
23;Morowali;2021;163,5;582.400;
24;Morowali;2022;167,9;610.500;
25;Morowali;2023;176,2;643.100;
26;Morowali;2024;182,4;690.455;
27;Morowali;2025;190,2;745.620;
28;Poso;2017;240,2;425.100;
29;Poso;2018;241,9;448.600;
30;Poso;2019;243,2;492.100;
31;Poso;2020;244,9;510.450;
32;Poso;2021;245,8;520.400;
33;Poso;2022;247,3;535.100;
34;Poso;2023;249,1;555.300;
35;Poso;2024;250,6;580.230;
36;Poso;2025;252,1;612.440;
37;Donggala;2017;290,4;321.400;
38;Donggala;2018;292,1;354.200;
39;Donggala;2019;293,4;395.400;
40;Donggala;2020;300,4;412.350;
41;Donggala;2021;301,2;422.400;
42;Donggala;2022;302,5;438.900;
43;Donggala;2023;303,8;451.200;
44;Donggala;2024;304,5;465.220;
45;Donggala;2025;306,2;490.250;
46;Toli-Toli;2017;220,4;410.200;
47;Toli-Toli;2018;222,8;435.400;
48;Toli-Toli;2019;228,4;430.150;
49;Toli-Toli;2020;225,2;465.909;
50;Toli-Toli;2021;227,1;468.900;
51;Toli-Toli;2022;229,4;471.200;
52;Toli-Toli;2023;231,6;474.800;
53;Toli-Toli;2024;233,9;477.026;
54;Toli-Toli;2025;236,0;499.368;
55;Buol;2017;155,6;285.274;
56;Buol;2018;158,8;374.299;
57;Buol;2019;162,2;327.135;
58;Buol;2020;145,3;378.743;
59;Buol;2021;147,2;398.500;
60;Buol;2022;149,1;421.200;
61;Buol;2023;150,8;454.600;
62;Buol;2024;152,4;483.543;
63;Buol;2025;154,2;508.979;
64;Parigi Moutong;2017;474,3;297.970;
65;Parigi Moutong;2018;482,8;334.066;
66;Parigi Moutong;2019;490,9;339.711;
67;Parigi Moutong;2020;440,0;362.801;
68;Parigi Moutong;2021;445,2;380.500;
69;Parigi Moutong;2022;448,1;395.400;
70;Parigi Moutong;2023;451,6;415.200;
71;Parigi Moutong;2024;459,8;480.877;
72;Parigi Moutong;2025;464,8;549.639;
73;Tojo Una-Una;2017;153,7;312.540;
74;Tojo Una-Una;2018;155,8;321.850;
75;Tojo Una-Una;2019;157,9;344.120;
76;Tojo Una-Una;2020;163,2;358.900;
77;Tojo Una-Una;2021;164,1;365.400;
78;Tojo Una-Una;2022;165,3;371.200;
79;Tojo Una-Una;2023;166,2;376.500;
80;Tojo Una-Una;2024;167,4;382.450;
81;Tojo Una-Una;2025;169,2;398.600;
82;Sigi;2017;234,6;288.410;
83;Sigi;2018;237,2;299.150;
84;Sigi;2019;239,9;315.600;
85;Sigi;2020;256,7;330.240;
86;Sigi;2024;264,3;365.800;
87;Sigi;2025;266,1;378.450;
88;Banggai Laut;2017;67,2;355.400;
89;Banggai Laut;2018;68,1;368.210;
90;Banggai Laut;2019;69,0;382.900;
91;Banggai Laut;2020;70,4;395.120;
92;Banggai Laut;2024;74,3;425.600;
93;Banggai Laut;2025;75,1;441.200;
94;Morowali Utara;2017;120,4;410.250;
95;Morowali Utara;2018;123,1;428.900;
96;Morowali Utara;2019;125,8;451.600;
97;Morowali Utara;2020;128,3;472.400;
98;Morowali Utara;2024;143,8;518.300;
99;Morowali Utara;2025;146,2;535.800;
100;Kota Palu;2017;367,3;645.200;
101;Kota Palu;2018;372,1;678.900;
102;Kota Palu;2019;377,0;712.400;
103;Kota Palu;2020;373,2;744.150;
104;Kota Palu;2024;385,4;825.600;
105;Kota Palu;2025;388,9;854.300;
;;;;;
Sumber: BPS Provinsi Sulawesi Tengah  |  Proyeksi Penduduk & Susenas 2017–2025;;;;;
